0001;                                                                                                                                        
0004;                                                                            
0006;                                                                        
0008;                                                                            
0009;                                                                                                                                                                                                                          
0014;                                                                            
0016;                                                                            
0017;                                                                            
0018;                                                                            
0019;                                                                            
0020;                                                                            
0022;                                                                            
0023;                                                                                                                                                       
0025;                                                                            
0026;IN_0026;Detector;DA1;DC1;Sumo_Lane;-51244813#5.55_1;51244813#1_1;Distance;8;30;
0027;                                                                            
0029;                                                                                                                                                       
0032;                                                                            
0033;                                                                                                                                                                                                                                
0038;                                                                            
0039;                                                                            
0042;                                                                            
0043;                                                                                                                                                   
0049;                                                                           
0054;                                                                            
1010;IN_1010                                                                            
1011;IN_1011                                                                            
1012;IN_1012                                                                            
1014;NA                                                                            
1021;NA                                                                            
1022;IN_1022                                                                            
1030;NA                                                                            
1040;                                                                                                                                                
1061;NA
1062;NA                                                                            
1080;IN_1080                                                                            
2010;IN_2010;Detector;DA1;DA2;DB1;DB2;DB3;DB4;DC1;DC2;DD1;DD2;DD3;DD4;Sumo_Lane;-24537982#1_1;-24537982#1_2;-32009683#1_1;-32009683#1_2;-32009683#1_1;-32009683#1_2;29027839#2_1;29027839#2_2;24972185#9_1;24972185#9_2;24972185#2.111_1;24972185#2.111_2Distance;15;15;2;2;15;15;7.26;7.26;2;2;12.85;12.85;                                                  
2020;NA                                                                            
2040;NA                                                                            
2050;IN_2050;Detector;DA1;DA2;DA3;DB2;DC1;DC2;DC3;DD1;Sumo_Lane;42745461#0_1;42745461#0_2;42745461#0_3;-54154921#2_1;-54154922#1_1;-54154922#1_2;-54154922#1_3;24977473#0_1;Distance;																																									
2080;NA                                                                            
3010;IN_3010                                                                            
3021;IN_3021;DA1;DA2;DA3;DB1;DC1;DC2;DC4;DD1;DD2;DE1;DE2;DH1;DF1;Sumo_Lane;266567306_2;266567306_3;266567306_4;266567306_1;30417892_1;30417892_2;64464397#0_1;64464430_1;64464430_2;Distance;                                                                          
3022;IN_3022;                                                                          
3030;                                                                         
3040;IN_3040;                                                                        
3050;                                         
3060;IN_3060_1;
3060;IN_3060_2;                                                                          
3080;IN_3080;                                                                          
3090;IN_3090;                                                                           
3091;IN_3091;                                                                           
3100;IN_3100;                                                                            
3110;IN_3110;                                                                           
3120;IN_3120;                                                                            
3130;IN_3130;                                                                           
3140;IN_3140;                                                                            
3150;IN_3150;                                                                   
3160;IN_3160;
3180;IN_3180                                                                            
3200;IN_3200;                                                                            
4010;IN_4010_1;
4010;IN_4010_2;                                                                            
4020;IN_4020_1;
4020;IN_4020_2;                                                                           
4040;IN_4040;                                                       
4050;IN_4050;                                                                            
4060;IN_4060;                                                                            
4070;IN_4070;                                                                                                                                                       
4100;IN_4100                                                                           
4110;IN_4110                                                                                                                                                       
4140;IN_4140;                                                                            
4150;IN_4150                                                                            
4160;IN_4160;                                                                            
4170;IN_4170                                                                            
4210;IN_4210                                                                            
4230;NA                                                                            
4240;IN_4240                                                                            
4250;IN_4250                                                                            
5011;IN_5011_1;
5011;IN_5011_2;                                                                           
5012;IN_5012                                                                            
5020;IN_5020                                                                            
5030;                                                                            
5031;IN_5031                                                                            
5040;IN_5040                                                                            
5050;IN_5050                                                                            
5051;IN_5051                                                                            
5060;(JUNCTION NEEDS TO BE MODIFIED)                                                                            
5080;IN_5080                                                                            
5090;                                                                            
6010;IN_6010_1
6010;IN_6010_2                                                                            
6020;IN_6020                                                                            
6021;IN_6021                                                                            
6022;NA                                                                            
6023;IN_6023                                                                            
6030;NA
6041;IN_6041                                                                            
6042;IN_6042                                                                            
6043;NA                                                                            
6050;NA                                                                            
6060;NA                                                                            
6070;NA                                                                            
6080;NA                                                                            
6090;NA                                                                            
6100;NA                                                                            
7020;IN_7020                                                                            
7040;IN_7040                                                                            
8001;IN_8001                                                                            
8002;IN_8002                                                                            
8003;IN_8003                                                                            
8004;NA                                                                            
8005;IN_8005                                                                            
8006;                                                                            
8007;NA                                                                            
8008;NA                                                                                                                                                       
8301;IN_8301                                                                            
8401;IN_8401                                                                            
8402;NA                                                                           
8403;IN_403                                                                            
8502;NA                                                                           
8505;NA                                                                           
8602;NA                                                                           
8603;                                                                           
8604;No TL                                                                           
8605;IN_8605                                                                           
8606;NA                                                                           
8607;signalplan missing                                                                          
9503;IN_9503;
